	zeit	Soll Temp	Ist Temp	Heizung	temp erreicht	Pumpe
455532	456	86	72	1	0	1
456298	456	86	72	1	0	1
457063	457	86	72	1	0	1
457828	458	86	72	1	0	1
458594	459	86	73	1	0	1
459359	459	86	73	1	0	1
460125	460	86	73	1	0	0
460890	461	86	73	1	0	0
461656	462	86	73	1	0	0
462420	462	86	73	1	0	0
463186	463	86	73	1	0	0
463951	464	86	73	1	0	0
464717	465	86	73	1	0	0
465482	465	86	73	1	0	0
466248	466	86	73	1	0	0
467013	467	86	73	1	0	0
467779	468	86	73	1	0	0
468544	469	86	73	1	0	0
469310	469	86	73	1	0	0
470075	470	86	73	1	0	0
470841	471	86	73	1	0	0
471606	472	86	73	1	0	0
472372	472	86	73	1	0	0
473137	473	86	73	1	0	0
473903	474	86	73	1	0	0
474668	475	86	73	1	0	0
475432	475	86	73	1	0	0
476198	476	86	73	1	0	0
476963	477	86	73	1	0	0
477729	478	86	73	1	0	0
478494	478	86	73	1	0	0
479260	479	86	73	1	0	0
480025	480	86	73	1	0	0
480791	481	86	73	1	0	0
481556	482	86	73	1	0	0
482322	482	86	73	1	0	0
483087	483	86	73	1	0	0
483853	484	86	73	1	0	0
484618	485	86	73	1	0	0
485384	485	86	73	1	0	0
486149	486	86	73	1	0	0
486915	487	86	73	1	0	0
487680	488	86	73	1	0	0
488445	488	86	73	1	0	0
489210	489	86	73	1	0	0
489976	490	86	73	1	0	0
490741	491	86	73	1	0	0
491507	492	86	73	1	0	0
492272	492	86	73	1	0	0
493038	493	86	73	1	0	0
493803	494	86	73	1	0	0
494569	495	86	73	1	0	0
495334	495	86	73	1	0	0
496100	496	86	73	1	0	0
496865	497	86	73	1	0	0
497631	498	86	73	1	0	0
498396	498	86	73	1	0	0
499161	499	86	73	1	0	0
499927	500	86	73	1	0	0
500691	501	86	73	1	0	0
501457	501	86	73	1	0	0
502222	502	86	73	1	0	0
502988	503	86	73	1	0	0
503753	504	86	73	1	0	0
504519	505	86	73	1	0	0
505284	505	86	73	1	0	0
506050	506	86	73	1	0	0
506815	507	86	73	1	0	0
507581	508	86	73	1	0	0
508346	508	86	73	1	0	0
509112	509	86	73	1	0	0
509877	510	86	73	1	0	0
510643	511	86	73	1	0	0
511408	511	86	73	1	0	0
512174	512	86	73	1	0	0
512939	513	86	73	1	0	0
513704	514	86	73	1	0	0
514469	514	86	73	1	0	0
515235	515	86	73	1	0	0
516000	516	86	73	1	0	0
516766	517	86	73	1	0	0
517531	518	86	73	1	0	0
518297	518	86	73	1	0	0
519062	519	86	73	1	0	0
519828	520	86	73	1	0	0
520593	521	86	73	1	0	0
521359	521	86	73	1	0	0
522124	522	86	73	1	0	0
522889	523	86	73	1	0	0
523655	524	86	73	1	0	0
524420	524	86	73	1	0	0
525186	525	86	73	1	0	0
525950	526	86	73	1	0	0
526716	527	86	73	1	0	0
527481	527	86	73	1	0	0
528247	528	86	73	1	0	0
529012	529	86	73	1	0	0
529778	530	86	73	1	0	0
530543	531	86	73	1	0	0
531309	531	86	73	1	0	0
532074	532	86	73	1	0	0
532840	533	86	73	1	0	0
533605	534	86	73	1	0	0
534371	534	86	73	1	0	0
535136	535	86	73	1	0	0
535902	536	86	73	1	0	0
536667	537	86	73	1	0	1
537433	537	86	73	1	0	1
538198	538	86	73	1	0	1
538963	539	86	73	1	0	1
539728	540	86	73	1	0	1
540494	540	86	73	1	0	1
541259	541	86	73	1	0	1
542025	542	86	73	1	0	1
542790	543	86	73	1	0	1
543556	544	86	74	1	0	1
544321	544	86	74	1	0	1
545087	545	86	74	1	0	1
545852	546	86	74	1	0	1
546617	547	86	74	1	0	1
547383	547	86	74	1	0	1
548148	548	86	74	1	0	1
548914	549	86	74	1	0	1
549679	550	86	74	1	0	1
550445	550	86	75	1	0	1
551209	551	86	75	1	0	1
551975	552	86	75	1	0	0
552740	553	86	75	1	0	0
553506	554	86	75	1	0	0
554271	554	86	75	1	0	0
555037	555	86	75	1	0	0
555802	556	86	75	1	0	0
556568	557	86	75	1	0	0
557333	557	86	75	1	0	0
558099	558	86	75	1	0	0
558864	559	86	75	1	0	0
559630	560	86	75	1	0	0
560395	560	86	75	1	0	0
561161	561	86	75	1	0	0
561926	562	86	75	1	0	0
562692	563	86	75	1	0	0
563457	563	86	75	1	0	0
564221	564	86	75	1	0	0
564987	565	86	75	1	0	0
565752	566	86	75	1	0	0
566518	567	86	75	1	0	0
567283	567	86	75	1	0	0
568049	568	86	75	1	0	0
568814	569	86	75	1	0	0
569580	570	86	75	1	0	0
570345	570	86	75	1	0	0
571111	571	86	75	1	0	0
571876	572	86	75	1	0	0
572642	573	86	75	1	0	0
573407	573	86	75	1	0	0
574173	574	86	75	1	0	0
574938	575	86	75	1	0	0
575704	576	86	75	1	0	0
576468	576	86	75	1	0	0
577234	577	86	75	1	0	0
577999	578	86	75	1	0	0
578765	579	86	75	1	0	0
579530	580	86	75	1	0	0
580296	580	86	75	1	0	0
581061	581	86	75	1	0	0
581827	582	86	75	1	0	0
582592	583	86	75	1	0	0
583358	583	86	75	1	0	0
584123	584	86	75	1	0	0
584888	585	86	75	1	0	0
585654	586	86	75	1	0	0
586419	586	86	75	1	0	0
587185	587	86	75	1	0	0
587950	588	86	75	1	0	0
588716	589	86	75	1	0	0
589480	589	86	75	1	0	0
590246	590	86	75	1	0	0
591011	591	86	75	1	0	0
591777	592	86	75	1	0	0
592542	593	86	75	1	0	0
593308	593	86	75	1	0	0
594073	594	86	75	1	0	0
594839	595	86	75	1	0	0
595604	596	86	75	1	0	0
596370	596	86	75	1	0	0
597135	597	86	75	1	0	0
597901	598	86	75	1	0	0
598666	599	86	75	1	0	0
599432	599	86	75	1	0	0
600197	600	86	75	1	0	0
600963	601	86	75	1	0	0
601728	602	86	75	1	0	0
602493	602	86	75	1	0	0
603258	603	86	75	1	0	0
604024	604	86	75	1	0	0
604789	605	86	75	1	0	0
605555	606	86	75	1	0	0
606320	606	86	75	1	0	0
607086	607	86	75	1	0	0
607851	608	86	75	1	0	0
608617	609	86	75	1	0	0
609382	609	86	75	1	0	0
610147	610	86	75	1	0	0
610913	611	86	75	1	0	0
611678	612	86	75	1	0	0
612444	612	86	75	1	0	0
613209	613	86	75	1	0	0
613975	614	86	75	1	0	0
614739	615	86	75	1	0	0
615505	616	86	75	1	0	0
616270	616	86	75	1	0	0
617036	617	86	75	1	0	0
617801	618	86	75	1	0	0
618567	619	86	75	1	0	0
619332	619	86	75	1	0	0
